Name,Vec
L-Bankssts,0.20852084470115645
L-Caudalanteriorcingulate,0.9319573062201687
L-Caudalmiddlefrontal,0.19908877281912524
L-Cuneus,0.26932385446261053
L-Entorhinal,0.39067284686492626
L-Frontalpole,0.0859618134839338
L-Fusiform,0.378352189828916
L-Inferiorparietal,0.24102808468181372
L-Inferiortemporal,0.3373169655572033
L-Insula,0.34728182309727496
L-Isthmuscingulate,0.4600058078507467
L-Lateraloccipital,0.0
L-Lateralorbitofrontal,0.8938794436855227
L-Lingual,0.37614936552932304
L-Medialorbitofrontal,1.0
L-Middletemporal,0.18698382263556695
L-Paracentral,0.6463696245077718
L-Parahippocampal,0.5219096366594015
L-Parsopercularis,0.27931241881492963
L-Parsorbitalis,0.27857149326288494
L-Parstriangularis,0.10745723267985641
L-Pericalcarine,0.25413082632015316
L-Postcentral,0.42536821641799255
L-Posteriorcingulate,0.7654561750800921
L-Precentral,0.5092684377860821
L-Precuneus,0.5118330462551284
L-Rostralanteriorcingulate,0.7641142452453028
L-Rostralmiddlefrontal,0.17594897347872468
L-Superiorfrontal,0.4963490838980825
L-Superiorparietal,0.4016804782962144
L-Superiortemporal,0.31684822279503017
L-Supramarginal,0.27884958894035367
L-Temporalpole,0.5425238892518995
L-Transversetemporal,0.5249538662998977
R-Bankssts,0.25161805718687336
R-Caudalanteriorcingulate,0.9608385531185102
R-Caudalmiddlefrontal,0.16807481280190445
R-Cuneus,0.2272470089686929
R-Entorhinal,0.3595670670977898
R-Frontalpole,0.12472128404286242
R-Fusiform,0.5643241107699217
R-Inferiorparietal,0.22993741716973162
R-Inferiortemporal,0.3227563888115822
R-Insula,0.4726867796860072
R-Isthmuscingulate,0.44784321153689
R-Lateraloccipital,0.012536162669397746
R-Lateralorbitofrontal,0.6893166873208922
R-Lingual,0.7235051696350226
R-Medialorbitofrontal,0.8139357021900103
R-Middletemporal,0.09005885955427385
R-Paracentral,0.5072643124241109
R-Parahippocampal,0.5482118135878455
R-Parsopercularis,0.2844801750848234
R-Parsorbitalis,0.1070368928512232
R-Parstriangularis,0.015757152143290605
R-Pericalcarine,0.2753665041803424
R-Postcentral,0.4123945114227308
R-Posteriorcingulate,0.3839247912194525
R-Precentral,0.3826493018121008
R-Precuneus,0.5023750805608913
R-Rostralanteriorcingulate,0.7843392903624095
R-Rostralmiddlefrontal,0.21458760169725596
R-Superiorfrontal,0.46541407017713093
R-Superiorparietal,0.44671034344797567
R-Superiortemporal,0.18629409853793527
R-Supramarginal,0.4927907865230267
R-Temporalpole,0.4937326485498412
R-Transversetemporal,0.49961520408093424
