Name,Vec
L-Bankssts,0.11118160752938358
L-Caudalanteriorcingulate,0.5695414046232989
L-Caudalmiddlefrontal,0.24747885066151862
L-Cuneus,0.6025022195944565
L-Entorhinal,0.24797255304396396
L-Frontalpole,0.04642343898036111
L-Fusiform,0.30009924200694477
L-Inferiorparietal,0.2642196618114963
L-Inferiortemporal,0.2329582711882888
L-Insula,0.36283119532124436
L-Isthmuscingulate,1.0
L-Lateraloccipital,0.11818205624306191
L-Lateralorbitofrontal,0.22015589667789479
L-Lingual,0.7179691832554388
L-Medialorbitofrontal,0.22185372885254684
L-Middletemporal,0.14123451849116292
L-Paracentral,0.4867664066795225
L-Parahippocampal,0.4669125929438377
L-Parsopercularis,0.04701184626126362
L-Parsorbitalis,0.08567023266370614
L-Parstriangularis,0.0475436433670925
L-Pericalcarine,0.5807420853636196
L-Postcentral,0.26084717292471965
L-Posteriorcingulate,0.7634209559991837
L-Precentral,0.2965296039706149
L-Precuneus,0.6021248478995009
L-Rostralanteriorcingulate,0.2186058656133531
L-Rostralmiddlefrontal,0.0698770124318381
L-Superiorfrontal,0.29272281701102454
L-Superiorparietal,0.33887470789933305
L-Superiortemporal,0.09864952140622896
L-Supramarginal,0.2559275075533002
L-Temporalpole,0.2778107247544953
L-Transversetemporal,0.30307741473249117
R-Bankssts,0.13444237663412476
R-Caudalanteriorcingulate,0.5245113659291127
R-Caudalmiddlefrontal,0.0688932998622032
R-Cuneus,0.4786276714539473
R-Entorhinal,0.17664755649397548
R-Frontalpole,0.11760654178967352
R-Fusiform,0.19710795976789564
R-Inferiorparietal,0.16973907986280432
R-Inferiortemporal,0.10256212609827245
R-Insula,0.13753077625354726
R-Isthmuscingulate,0.8475460277911832
R-Lateraloccipital,0.03989473874389897
R-Lateralorbitofrontal,0.3542080745551722
R-Lingual,0.5825618537795251
R-Medialorbitofrontal,0.329413564479199
R-Middletemporal,0.0475685886549556
R-Paracentral,0.47261265488758764
R-Parahippocampal,0.2540739994482463
R-Parsopercularis,0.07022329223644147
R-Parsorbitalis,0.045142009304623115
R-Parstriangularis,0.0
R-Pericalcarine,0.4301610548040841
R-Postcentral,0.3567425417412793
R-Posteriorcingulate,0.6198442027574297
R-Precentral,0.20279028931787985
R-Precuneus,0.6634642233283576
R-Rostralanteriorcingulate,0.244601711488499
R-Rostralmiddlefrontal,0.05162230650948273
R-Superiorfrontal,0.2474733603004517
R-Superiorparietal,0.33736702724304735
R-Superiortemporal,0.09495134877715533
R-Supramarginal,0.12287215733057931
R-Temporalpole,0.23257122635877467
R-Transversetemporal,0.1086342213491932
